날짜,시가,고가,저가,종가,MA5,MA20,MA60,MA120,거래량
2000-01-04,11583.9853515625,13522.529296875,11583.9853515625,12978.791015625,,,,,17681
2000-01-05,12789.6650390625,12884.228515625,12080.44140625,12293.2080078125,,,,,26775
2000-01-06,12576.8974609375,12884.228515625,12104.08203125,12127.72265625,,,,,33839
2000-01-07,12056.80078125,12411.412109375,12056.80078125,12127.72265625,,,,,19923
2000-01-10,12647.8203125,13924.4228515625,12600.5390625,13924.4228515625,12690.3734375,,,,34347
2000-01-11,14870.0537109375,14870.0537109375,11867.6748046875,14420.87890625,12978.791015625,,,,86587
2000-01-12,14184.4716796875,14420.87890625,13404.3251953125,13948.0634765625,13309.762109375,,,,21319
2000-01-13,13688.0146484375,15366.5107421875,13688.0146484375,14657.287109375,13815.675,,,,57020
2000-01-14,14420.87890625,14420.87890625,13711.6552734375,13948.0634765625,14179.7431640625,,,,27071
2000-01-17,14420.87890625,14657.287109375,13829.859375,13948.0634765625,14184.4712890625,,,,26733
2000-01-18,13948.0634765625,13948.0634765625,13026.0732421875,13711.6552734375,14042.6265625,,,,17892
2000-01-19,12766.0244140625,13475.248046875,12293.2080078125,12293.2080078125,13711.65546875,,,,19838
2000-01-20,12293.2080078125,12529.6162109375,11702.1884765625,12529.6162109375,13286.1212890625,,,,31597
2000-01-21,11867.6748046875,12884.228515625,11867.6748046875,12316.849609375,12959.878515625,,,,22757
2000-01-24,11844.033203125,12458.6943359375,11844.033203125,12056.80078125,12581.6259765625,,,,22588
2000-01-25,11820.392578125,12056.80078125,11465.78125,11654.9072265625,12170.2763671875,,,,21784
2000-01-26,11063.8876953125,12151.3642578125,11063.8876953125,11583.9853515625,12028.4318359375,,,,17131
2000-01-27,12009.51953125,13002.431640625,11808.572265625,12884.228515625,12099.354296875,,,,41453
2000-01-28,13238.83984375,13593.4521484375,12884.228515625,13120.6357421875,12260.1115234375,,,,49786
2000-01-31,12789.6650390625,13806.21875,12482.3349609375,13238.83984375,12496.5193359375,12988.247509765624,,,41157
2000-02-01,13711.6552734375,13829.859375,13002.431640625,13096.9951171875,12784.9369140625,12994.15771484375,,,36039
2000-02-02,13380.6845703125,13971.7041015625,13002.431640625,13664.3740234375,13201.0146484375,13062.716015625,,,55328
2000-02-03,13357.0439453125,14657.287109375,13357.0439453125,13948.0634765625,13413.781640625,13153.733056640625,,,60319
2000-02-04,13948.0634765625,13948.0634765625,13948.0634765625,13948.0634765625,13579.2671875,13244.75009765625,,,0
2000-02-07,13711.6552734375,13711.6552734375,13238.83984375,13451.607421875,13621.820703125,13221.109326171874,,,42680
2000-02-08,13286.12109375,13357.0439453125,12766.0244140625,13096.9951171875,13621.820703125,13154.91513671875,,,33374
2000-02-09,12884.228515625,13309.7626953125,12529.6162109375,12742.3837890625,13437.42265625,13094.63115234375,,,29102
2000-02-10,12576.8974609375,12576.8974609375,12175.0048828125,12411.412109375,13130.0923828125,12982.33740234375,,,29229
2000-02-11,12198.6455078125,12647.8203125,11844.033203125,11938.5966796875,12728.1990234375,12881.8640625,,,26098
2000-02-14,11820.392578125,12033.16015625,11513.0625,11749.470703125,12387.7716796875,12771.934423828125,,,29440
2000-02-15,11347.5771484375,12175.0048828125,11347.5771484375,11749.470703125,12118.266796875,12673.8251953125,,,22841
2000-02-16,12293.2080078125,13475.248046875,11867.6748046875,12316.849609375,12033.1599609375,12675.007275390624,,,48729
2000-02-17,12316.849609375,12316.849609375,11820.392578125,12245.9267578125,12000.062890625,12660.822802734376,,,36843
2000-02-18,11820.392578125,12056.80078125,11666.7275390625,12056.80078125,12023.7037109375,12647.820361328126,,,20346
2000-02-21,11583.9853515625,11583.9853515625,10874.76171875,11016.6064453125,11877.130859375,12595.81064453125,,,24956
2000-02-22,10638.353515625,11229.373046875,10212.8193359375,10472.8681640625,11621.8103515625,12536.70869140625,,,20599
2000-02-23,10543.7900390625,12033.16015625,10401.9453125,11654.9072265625,11489.421875,12540.25478515625,,,35912
2000-02-24,11335.7568359375,11347.5771484375,10685.634765625,10874.76171875,11215.1888671875,12439.7814453125,,,11420
2000-02-25,10437.4072265625,11111.1689453125,10425.5869140625,10685.634765625,10940.9556640625,12318.031396484375,,,19669
2000-02-28,9810.92578125,10638.353515625,9810.92578125,10520.1494140625,10841.6642578125,12182.096875,,,22207
2000-02-29,11134.8095703125,11347.5771484375,10543.7900390625,10591.072265625,10865.305078125,12056.800732421874,,,16666
2000-03-01,10591.072265625,10591.072265625,10591.072265625,10591.072265625,10652.5380859375,11903.13564453125,,,0
2000-03-02,10425.5869140625,11111.1689453125,10425.5869140625,10614.712890625,10600.5283203125,11736.468115234375,,,22122
2000-03-03,10520.1494140625,10614.712890625,10283.7421875,10283.7421875,10520.1498046875,11553.25205078125,,,17131
2000-03-06,10756.5576171875,10992.96484375,10401.9453125,10874.76171875,10591.072265625,11424.409765625,,,44499
2000-03-07,10992.96484375,11347.5771484375,10661.994140625,10992.96484375,10671.45078125,11319.208251953125,,,34855
2000-03-08,10685.634765625,11347.5771484375,10685.634765625,10992.96484375,10751.829296875,11231.7373046875,,,34220
2000-03-09,11111.1689453125,11465.78125,10992.96484375,11111.1689453125,10851.1205078125,11166.725146484376,,,25549
2000-03-10,11347.5771484375,11347.5771484375,10756.5576171875,10780.1982421875,10950.41171875,11108.805224609376,,,20684
2000-03-13,10898.40234375,11725.830078125,10685.634765625,11347.5771484375,11044.9748046875,11088.710546875,,,45768
2000-03-14,11583.9853515625,11820.392578125,11111.1689453125,11134.8095703125,11073.34375,11057.977490234374,,,21826
2000-03-15,11347.5771484375,11347.5771484375,10874.76171875,11087.5283203125,11092.2564453125,10996.51142578125,,,18908
2000-03-16,11146.630859375,11371.2177734375,10673.814453125,11111.1689453125,11092.2564453125,10939.77353515625,,,23899
2000-03-17,11229.373046875,11938.5966796875,11087.5283203125,11371.2177734375,11210.4603515625,10905.494384765625,,,77239
2000-03-20,11465.78125,11465.78125,11040.2470703125,11111.1689453125,11163.1787109375,10910.222509765625,,,23814
2000-03-21,10910.22265625,11276.654296875,10165.5380859375,10401.9453125,11016.605859375,10906.6763671875,,,29990
2000-03-22,10638.353515625,10874.76171875,10472.8681640625,10472.8681640625,10893.673828125,10847.5744140625,,,17808
2000-03-23,10449.2275390625,10638.353515625,10165.5380859375,10354.6640625,10742.3728515625,10821.56953125,,,19669
2000-03-24,10354.6640625,10638.353515625,10047.333984375,10401.9453125,10548.518359375,10807.38505859375,,,18950
2000-03-27,10425.5869140625,10992.96484375,10248.2802734375,10874.76171875,10501.2369140625,10825.115673828124,11998.486686197917,,31682
2000-03-28,10709.275390625,10992.96484375,10520.1494140625,10638.353515625,10548.5185546875,10827.479736328125,11959.47939453125,,16412
2000-03-29,10874.76171875,10874.76171875,10401.9453125,10401.9453125,10534.333984375,10818.023388671874,11927.958349609375,,40057
2000-03-30,9456.314453125,9810.92578125,9148.984375,9148.984375,10293.198046875,10744.736962890625,11878.312711588542,,29567
2000-03-31,8912.576171875,9692.7216796875,8794.3720703125,9231.7265625,10059.154296875,10692.136181640624,11830.046110026042,,35024
2000-04-03,8983.498046875,9219.90625,7872.3818359375,8037.8671875,9491.775390625,10550.291455078124,11731.936848958334,,9813
2000-04-04,8037.8671875,8274.275390625,7730.537109375,7801.45947265625,8924.39658203125,10390.716186523438,11621.61319173177,,10701
2000-04-05,7801.45947265625,7801.45947265625,7801.45947265625,7801.45947265625,8404.2994140625,10231.14091796875,11519.169791666667,,0
2000-04-06,7801.45947265625,7943.30419921875,7092.23583984375,7163.158203125,8007.1341796875,10033.740380859375,11394.267643229166,,17004
2000-04-07,7210.439453125,7210.439453125,6950.39111328125,7080.4150390625,7576.871875,9848.751220703125,11279.8068359375,,46022
2000-04-10,7210.439453125,7706.89599609375,7115.87646484375,7470.48828125,7463.39609375,9654.89677734375,11171.847249348959,,44372
2000-04-11,7565.05126953125,7565.05126953125,6855.82763671875,6926.75,7288.45419921875,9444.493798828125,11058.765494791667,,25929
2000-04-12,6985.85205078125,7529.59033203125,6926.75,7305.0029296875,7189.162890625,9255.367529296875,10975.628743489584,,18104
2000-04-13,7305.0029296875,7305.0029296875,7305.0029296875,7305.0029296875,7217.5318359375,9065.059228515625,10888.55185546875,,0
2000-04-14,7092.23583984375,8274.275390625,7092.23583984375,7635.9736328125,7328.6435546875,8878.297021484375,10810.537255859375,,28933
2000-04-17,7139.51708984375,7305.0029296875,6548.49755859375,6572.13818359375,7148.97353515625,8651.345483398438,10719.126212565105,,19542
2000-04-18,6903.109375,7399.56591796875,6903.109375,7163.158203125,7196.25517578125,8489.406127929688,10644.263728841146,,34643
2000-04-19,6997.67236328125,7446.84765625,6997.67236328125,7127.69677734375,7160.7939453125,8322.14755859375,10569.992252604166,,20303
2000-04-20,7092.23583984375,7127.69677734375,6974.03173828125,7092.23583984375,7118.24052734375,8159.026147460938,10473.459041341146,,7910
2000-04-21,6974.03173828125,7139.51708984375,6903.109375,7139.51708984375,7018.94921875,7995.904736328125,10373.77373046875,,10067
2000-04-24,6997.67236328125,7092.23583984375,6784.9052734375,6784.9052734375,7061.50263671875,7791.4119140625,10266.208154296875,,13366
2000-04-25,6855.82763671875,7021.3134765625,6619.419921875,6619.419921875,6952.75498046875,7590.465234375,10158.248567708333,,10659
2000-04-26,6855.82763671875,7021.3134765625,6489.3955078125,6489.3955078125,6825.0947265625,7394.837744140625,10038.665592447916,,16539
2000-04-27,6359.37109375,6572.13818359375,6193.8857421875,6477.5751953125,6702.16259765625,7261.26728515625,9914.157454427082,,12901
2000-04-28,6477.5751953125,6974.03173828125,6477.5751953125,6855.82763671875,6645.42470703125,7142.472338867187,9795.95352376302,,20642
2000-05-01,6855.82763671875,6855.82763671875,6855.82763671875,6855.82763671875,6659.6091796875,7083.370361328125,9686.023860677084,,0
2000-05-02,6643.060546875,7092.23583984375,6619.419921875,6643.060546875,6664.3373046875,7025.450415039062,9578.458284505208,,16539
2000-05-03,6832.18701171875,6832.18701171875,6619.419921875,6761.2646484375,6718.7111328125,6973.440673828125,9478.772965494793,,11590
2000-05-04,6619.419921875,6926.75,6619.419921875,6855.82763671875,6794.36162109375,6958.074145507812,9386.179890950521,,11420
2000-05-05,6855.82763671875,6855.82763671875,6855.82763671875,6855.82763671875,6794.36162109375,6946.844775390625,9301.467073567708,,0
2000-05-08,7210.439453125,7210.439453125,6950.39111328125,7068.5947265625,6836.9150390625,6926.75009765625,9223.452473958334,,21149
2000-05-09,7068.5947265625,7068.5947265625,7068.5947265625,7068.5947265625,6922.021875,6933.842333984375,9145.437874348958,,0
2000-05-10,6855.82763671875,6855.82763671875,6690.34228515625,6737.6240234375,6917.29375,6905.473388671875,9052.45078125,,9136
2000-05-11,6737.6240234375,6737.6240234375,6737.6240234375,6737.6240234375,6893.65302734375,6877.104443359375,8960.645735677082,,0
2000-05-12,6725.8037109375,6737.6240234375,6383.01220703125,6383.01220703125,6799.08994140625,6814.456372070313,8866.082592773437,,9052
2000-05-15,6501.2158203125,6501.2158203125,5910.1962890625,5957.47802734375,6576.8666015625,6783.723364257812,8781.763785807292,,10997
