날짜,시가,고가,저가,종가,MA5,MA20,MA60,MA120,거래량
2014-11-27,18533.861328125,18533.861328125,15764.4326171875,15764.4326171875,,,,,631248
2014-11-28,15196.345703125,16214.1689453125,14367.8837890625,14699.2685546875,,,,,7135171
2014-12-01,14651.927734375,14912.3017578125,13610.43359375,13989.1591796875,,,,,2586940
2014-12-02,14202.19140625,14367.8837890625,13634.1044921875,13941.818359375,,,,,1903409
2014-12-03,13941.818359375,14273.203125,13799.796875,14083.83984375,14495.7037109375,,,,1434980
2014-12-04,13989.1591796875,14178.521484375,12687.291015625,12781.97265625,13899.21171875,,,,2490931
2014-12-05,12781.97265625,12995.005859375,12213.884765625,12450.587890625,13449.4755859375,,,,2083907
2014-12-08,12687.291015625,13728.78515625,12616.2802734375,13255.37890625,13302.71953125,,,,2411760
2014-12-09,13776.1259765625,13847.13671875,13326.3896484375,13373.73046875,13189.101953125,,,,1123575
2014-12-10,13184.3681640625,13610.43359375,12923.994140625,13492.08203125,13070.750390625,,,,596016
2014-12-11,13421.0712890625,13492.08203125,13089.6865234375,13089.6865234375,13132.2931640625,,,,358807
2014-12-12,13184.3681640625,13184.3681640625,12048.1923828125,12166.5439453125,13075.484375,,,,876004
2014-12-15,12545.26953125,12545.26953125,12071.86328125,12213.884765625,12867.185546875,,,,465777
2014-12-16,12308.56640625,12308.56640625,11290.7421875,11409.09375,12474.258203125,,,,1012829
2014-12-17,11503.775390625,12071.86328125,11385.423828125,11906.1708984375,12157.0759765625,,,,726445
2014-12-18,11953.51171875,12474.2587890625,11740.478515625,12024.5224609375,11944.0431640625,,,,499042
2014-12-19,12071.86328125,12521.599609375,11858.830078125,12284.8955078125,11967.7134765625,,,,306442
2014-12-22,12237.5556640625,13208.0380859375,12119.2041015625,12900.32421875,12105.0013671875,,,,556352
2014-12-23,12995.005859375,13208.0380859375,12639.951171875,12663.62109375,12355.9068359375,,,,343003
2014-12-24,12829.3134765625,13302.7197265625,12687.291015625,13137.02734375,12602.078125,13081.40205078125,,,283249
2014-12-26,13137.02734375,13444.7412109375,13137.02734375,13326.3896484375,12862.4515625,12959.49990234375,,,315006
2014-12-29,13089.6865234375,13113.357421875,12474.2587890625,12568.939453125,12919.2603515625,12852.983447265626,,,338447
2014-12-30,12687.291015625,12923.994140625,12379.5771484375,12521.599609375,12843.5154296875,12779.60546875,,,310019
