날짜,시가,고가,저가,종가,MA5,MA20,MA60,MA120,거래량
2002-11-26,28800.0,29500.0,28100.0,29000.0,,,,,628500
2002-11-27,28700.0,28950.0,27900.0,28650.0,,,,,494100
2002-11-28,28650.0,29200.0,28100.0,28650.0,,,,,528700
2002-11-29,28550.0,29700.0,28550.0,29700.0,,,,,528800
2002-12-02,29700.0,29700.0,29700.0,29700.0,29140.0,,,,0
2002-12-03,29400.0,29650.0,29100.0,29500.0,29240.0,,,,276700
2002-12-04,29100.0,29200.0,28500.0,28750.0,29260.0,,,,299700
2002-12-05,28750.0,28900.0,28400.0,28900.0,29310.0,,,,120600
2002-12-06,28300.0,28850.0,28200.0,28200.0,29010.0,,,,110900
2002-12-09,28000.0,28500.0,27100.0,28000.0,28670.0,,,,176600
2002-12-10,27100.0,27600.0,27100.0,27500.0,28270.0,,,,247600
2002-12-11,27000.0,27600.0,26600.0,27000.0,27920.0,,,,194300
2002-12-12,26700.0,26850.0,26250.0,26450.0,27430.0,,,,220400
2002-12-13,26100.0,26200.0,24900.0,25100.0,26810.0,,,,302900
2002-12-16,24450.0,24700.0,22850.0,22900.0,25790.0,,,,328000
2002-12-17,23400.0,23700.0,22850.0,23000.0,24890.0,,,,288700
2002-12-18,22500.0,23300.0,22400.0,22500.0,23990.0,,,,318400
2002-12-19,22500.0,22500.0,22500.0,22500.0,23200.0,,,,0
2002-12-20,21850.0,22750.0,21250.0,22700.0,22720.0,,,,471400
2002-12-23,22300.0,23200.0,21850.0,22000.0,22540.0,26535.0,,,469300
2002-12-24,21600.0,22300.0,20550.0,20700.0,22080.0,26120.0,,,304300
2002-12-25,20700.0,20700.0,20700.0,20700.0,21720.0,25722.5,,,0
2002-12-26,20550.0,20700.0,19950.0,20550.0,21330.0,25317.5,,,204900
2002-12-27,19800.0,20600.0,19400.0,19400.0,20670.0,24802.5,,,210600
2002-12-30,19050.0,19100.0,17600.0,19100.0,20090.0,24272.5,,,393200
2002-12-31,19100.0,19100.0,19100.0,19100.0,19770.0,23752.5,,,0
2003-01-01,19100.0,19100.0,19100.0,19100.0,19450.0,23270.0,,,0
2003-01-02,18900.0,20000.0,18600.0,20000.0,19340.0,22825.0,,,310800
2003-01-03,20100.0,21050.0,20050.0,20050.0,19470.0,22417.5,,,377900
2003-01-06,20250.0,20250.0,19050.0,19350.0,19520.0,21985.0,,,225200
2003-01-07,19800.0,19800.0,18450.0,18800.0,19460.0,21550.0,,,205200
2003-01-08,18600.0,18800.0,18100.0,18250.0,19290.0,21112.5,,,157100
2003-01-09,17750.0,18600.0,17600.0,18500.0,18990.0,20715.0,,,154700
2003-01-10,18500.0,18900.0,16800.0,17050.0,18390.0,20312.5,,,536000
2003-01-13,16750.0,17450.0,16750.0,17400.0,18000.0,20037.5,,,244100
2003-01-14,17250.0,19900.0,17250.0,19400.0,18120.0,19857.5,,,666100
2003-01-15,19600.0,19900.0,19100.0,19800.0,18430.0,19722.5,,,282500
2003-01-16,19200.0,21450.0,19200.0,20900.0,18910.0,19642.5,,,839900
2003-01-17,21000.0,21800.0,20450.0,21100.0,19720.0,19562.5,,,457200
2003-01-20,21100.0,22200.0,20900.0,21800.0,20600.0,19552.5,,,431900
2003-01-21,22000.0,22200.0,21100.0,21300.0,20980.0,19582.5,,,192400
2003-01-22,20550.0,22000.0,20300.0,20600.0,21140.0,19577.5,,,157800
2003-01-23,20550.0,20700.0,19750.0,20600.0,21080.0,19580.0,,,216600
2003-01-24,20400.0,21300.0,20350.0,20650.0,20990.0,19642.5,,,231000
2003-01-27,20200.0,20550.0,19900.0,20550.0,20740.0,19715.0,,,241000
2003-01-28,20550.0,21100.0,20200.0,20450.0,20570.0,19782.5,,,107900
2003-01-29,20700.0,20750.0,19500.0,19500.0,20350.0,19802.5,,,288400
