date,open,high,low,close,volume,ma5,ma20,ma60,ma120,label,qty,order_price,order_type,stock_code,chart_return_pct
2020-03-24,9190,9830,9010,9800,160947,9760,15707.5,21589.166666666668,24651.25,BUY,1580,9800,시장가,298040,102.88
2020-03-25,10400,11250,10150,10850,249095,9680,15202.5,21333.333333333332,24479.583333333332,HOLD,0,,,298040,102.88
2020-03-26,11050,11750,10600,11350,189038,10200,14735,21084.166666666668,24310.833333333332,HOLD,0,,,298040,102.88
2020-03-27,12050,12250,11050,11700,235339,10530,14332.5,20835,24148.333333333332,HOLD,0,,,298040,102.88
2020-03-30,11200,12200,10950,12000,85045,11140,13965,20586.666666666668,23992.5,HOLD,0,,,298040,102.88
2020-03-31,12450,13100,12150,12900,143527,11760,13640,20348.333333333332,23847.916666666668,HOLD,0,,,298040,102.88
2020-04-01,13100,14200,12750,13150,157168,12220,13302.5,20132.5,23705,HOLD,0,,,298040,102.88
2020-04-02,13050,13550,12650,13500,111251,12650,12985,19920.833333333332,23567.5,HOLD,0,,,298040,102.88
2020-04-03,14000,14150,13500,13700,116113,13050,12715,19740,23434.166666666668,HOLD,0,,,298040,102.88
2020-04-06,13750,14450,13700,14450,118396,13540,12552.5,19564.166666666668,23299.166666666668,SELL,790,14450,시장가,298040,102.88
2020-04-07,14900,15000,14300,14950,109428,13950,12415,19396.666666666668,23168.333333333332,HOLD,0,,,298040,102.88
2020-04-08,14750,15200,14400,14750,100765,14270,12300,19220.833333333332,23034.583333333332,HOLD,0,,,298040,102.88
2020-04-09,15200,15200,14700,14950,79691,14560,12262.5,19047.5,22902.916666666668,HOLD,0,,,298040,102.88
2020-04-10,15000,15400,14700,15400,80176,14900,12375,18878.333333333332,22774.166666666668,HOLD,0,,,298040,102.88
2020-04-13,15350,15450,15050,15150,63095,15040,12492.5,18706.666666666668,22647.916666666668,HOLD,0,,,298040,102.88
2020-04-14,15150,16200,15150,16100,85689,15270,12685,18550.833333333332,22525.833333333332,HOLD,0,,,298040,102.88
2020-04-16,16100,16250,15400,16200,62467,15560,12932.5,18403.333333333332,22405.416666666668,HOLD,0,,,298040,102.88
2020-04-17,16100,16800,15800,16500,125995,15870,13320,18264.166666666668,22290.833333333332,HOLD,0,,,298040,102.88
2020-04-20,16600,17500,16150,17400,109275,16270,13687.5,18125.833333333332,22185,HOLD,0,,,298040,102.88
2020-04-21,17350,17350,16150,16600,130428,16560,14070,17983.333333333332,22070,HOLD,0,,,298040,102.88
2020-04-22,16200,16400,15700,16300,91123,16600,14395,17859.166666666668,21957.5,HOLD,0,,,298040,102.88
